time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7
1763027694.359694,0.327754885,0.749567986,-0.280351281,-1.441713572,0.115927145,0.817933619,1.518474698
1763027694.365795,0.327754766,0.749567986,-0.280351281,-1.441713572,0.115927435,0.817933738,1.518474698
1763027694.371519,0.327754766,0.749567926,-0.280351460,-1.441713691,0.115927242,0.817933619,1.518474698
1763027694.376964,0.327754766,0.749567986,-0.280351281,-1.441713572,0.115927242,0.817933619,1.518474698
1763027694.382560,0.327754885,0.749567986,-0.280351400,-1.441713572,0.115927145,0.817933738,1.518474698
1763027694.388578,0.327754766,0.749567986,-0.280351281,-1.441713572,0.115927145,0.817933619,1.518474936
1763027694.394007,0.327754766,0.749568045,-0.280351281,-1.441713452,0.115927145,0.817933738,1.518474698
1763027694.400513,0.327754766,0.749567926,-0.280351281,-1.441713572,0.115927145,0.817933738,1.518474698
1763027694.411019,0.327754766,0.749567986,-0.280351400,-1.441713572,0.115927145,0.817933619,1.518474936
1763027694.449669,0.327754885,0.749567986,-0.280351281,-1.441713572,0.115927242,0.817933619,1.518474698
1763027694.455711,0.327754766,0.749567986,-0.280351222,-1.441713572,0.115927145,0.817933619,1.518474698
1763027694.462065,0.327754766,0.749568164,-0.280351162,-1.441713810,0.115927145,0.817933619,1.518474698
1763027694.467957,0.327754885,0.749567926,-0.280351281,-1.441713572,0.115927242,0.817933619,1.518474936
1763027694.473879,0.327754885,0.749567986,-0.280351281,-1.441713572,0.115927145,0.817933738,1.518474817
1763027694.479646,0.327754766,0.749567926,-0.280351281,-1.441713691,0.115927145,0.817933738,1.518474698
1763027694.518552,0.327754766,0.749567688,-0.280352771,-1.441713452,0.115927339,0.817933619,1.518474817
1763027694.524035,0.327754766,0.749567568,-0.280352920,-1.441713452,0.115927145,0.817933798,1.518474698
1763027694.530033,0.327754766,0.749567509,-0.280353040,-1.441713452,0.115927339,0.817933738,1.518474698
1763027694.535792,0.327754766,0.749567568,-0.280353516,-1.441713333,0.115927145,0.817933738,1.518474698
1763027694.541733,0.327754706,0.749567330,-0.280354053,-1.441713214,0.115927339,0.817933738,1.518474698
1763027694.547911,0.327754647,0.749567389,-0.280354589,-1.441713214,0.115927145,0.817933738,1.518474817
1763027694.553912,0.327754647,0.749567270,-0.280355245,-1.441713214,0.115927145,0.817933500,1.518474817
1763027694.559839,0.327754527,0.749567211,-0.280356139,-1.441713095,0.115927145,0.817933619,1.518474698
1763027694.565856,0.327754527,0.749567211,-0.280357271,-1.441713214,0.115927145,0.817933798,1.518474936
1763027694.571666,0.327754527,0.749567032,-0.280359387,-1.441713214,0.115927145,0.817933738,1.518474698
1763027694.577611,0.327754468,0.749566793,-0.280361235,-1.441713214,0.115927145,0.817933798,1.518474698
1763027694.583060,0.327754527,0.749566376,-0.280361414,-1.441713214,0.115927339,0.817933738,1.518474698
1763027694.590621,0.327754706,0.749566019,-0.280360699,-1.441713214,0.115927145,0.817933619,1.518474698
1763027694.633530,0.327754766,0.749566436,-0.280359089,-1.441713214,0.115927145,0.817933738,1.518474936
1763027694.639665,0.327754766,0.749566615,-0.280359268,-1.441713333,0.115927145,0.817933857,1.518474817
1763027694.645518,0.327754766,0.749566734,-0.280359924,-1.441713333,0.115927145,0.817933619,1.518474936
1763027694.651648,0.327754766,0.749566793,-0.280359864,-1.441713214,0.115927145,0.817933798,1.518474698
1763027694.657548,0.327754766,0.749566793,-0.280359805,-1.441713214,0.115927242,0.817933738,1.518474698
1763027694.663617,0.327754766,0.749566853,-0.280359805,-1.441713333,0.115927145,0.817933798,1.518474698
1763027694.669501,0.327754706,0.749566793,-0.280359745,-1.441713452,0.115927145,0.817933738,1.518474698
1763027694.675136,0.327754647,0.749566913,-0.280359805,-1.441713333,0.115927145,0.817933619,1.518474698
1763027694.680964,0.327754647,0.749566853,-0.280360579,-1.441713452,0.115927145,0.817933917,1.518474817
1763027694.688495,0.327754527,0.749566972,-0.280361593,-1.441713452,0.115927145,0.817933738,1.518474936
1763027694.693949,0.327754527,0.749567211,-0.280361593,-1.441713572,0.115927339,0.817933679,1.518474698
1763027694.699848,0.327754527,0.749567389,-0.280361593,-1.441713572,0.115927145,0.817933619,1.518474817
1763027694.705687,0.327754527,0.749567628,-0.280361414,-1.441713572,0.115927145,0.817933738,1.518474817
1763027694.711715,0.327754527,0.749567688,-0.280361295,-1.441713691,0.115927145,0.817933917,1.518474698
1763027694.717838,0.327754527,0.749567807,-0.280360878,-1.441713810,0.115927145,0.817933738,1.518474698
1763027694.723874,0.327754527,0.749567688,-0.280361056,-1.441713691,0.115927145,0.817933738,1.518474460
1763027694.729714,0.327754527,0.749567568,-0.280361056,-1.441713691,0.115927145,0.817933798,1.518474460
1763027694.735590,0.327754527,0.749567032,-0.280361056,-1.441713572,0.115927242,0.817933738,1.518474698
1763027694.741555,0.327754647,0.749566793,-0.280361414,-1.441713572,0.115927145,0.817933798,1.518474698
1763027694.819541,0.327754706,0.749567211,-0.280360579,-1.441713214,0.115927145,0.817933500,1.518474698
1763027694.824987,0.327754706,0.749567091,-0.280360699,-1.441713214,0.115927242,0.817933619,1.518474698
1763027694.831570,0.327754527,0.749567032,-0.280361295,-1.441713214,0.115927145,0.817933381,1.518474698
1763027694.836957,0.327754468,0.749567032,-0.280362546,-1.441713095,0.115927242,0.817933619,1.518474698
1763027694.843646,0.327754349,0.749566972,-0.280364543,-1.441712976,0.115927242,0.817933619,1.518474698
1763027694.849627,0.327753693,0.749567032,-0.280367702,-1.441712856,0.115927145,0.817933619,1.518474698
1763027694.855743,0.327752799,0.749567091,-0.280371487,-1.441712856,0.115927242,0.817933619,1.518474698
1763027694.861529,0.327751964,0.749567091,-0.280375630,-1.441712856,0.115927145,0.817933619,1.518474936
1763027694.867062,0.327751100,0.749567032,-0.280379444,-1.441712737,0.115927145,0.817933500,1.518474817
1763027694.873555,0.327750266,0.749567032,-0.280381858,-1.441712737,0.115927145,0.817933619,1.518474936
1763027694.879615,0.327750027,0.749567032,-0.280383646,-1.441712856,0.115927145,0.817933619,1.518474698
1763027694.886006,0.327749908,0.749566913,-0.280384123,-1.441712856,0.115927145,0.817933619,1.518474579
1763027694.892053,0.327749908,0.749566972,-0.280384064,-1.441712737,0.115927145,0.817933500,1.518474698
